database_size,elements_size,degree,query_size,query_construction_time,response_time,response_size
10000,40000,16384,215092,4338576,5855821280,204834
10000,50000,32768,430132,8957593,12124845916,409634
15000,60000,32768,430132,9005384,14100955666,409634
15000,30000,16384,215092,4355616,6654953981,204834
15000,40000,16384,215092,4408103,6660363308,204834
15000,50000,32768,430132,9013692,14140182346,409634
20000,20000,16384,215092,4328443,5560492456,204834
20000,30000,16384,215092,4370164,9673313706,204834
20000,40000,16384,215092,4372003,9640483372,204834
700,606000,262144,3440694,86804826,24526774936,3276834
